Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,60000
1,0,5,25,60000
2,0,5,53,60000
3,0,4,83,60000
4,0,4,110,60000
5,81,7,56,60000
6,164,8,0,60000
7,195,6,0,0
8,222,7,0,0
9,253,4,0,0
10,275,7,0,0
11,304,5,0,0
12,330,5,0,0
13,354,10,0,0
14,388,7,0,0
15,418,6,0,0
16,443,9,0,0
17,475,6,0,0
18,504,5,0,0
19,530,5,0,0
20,558,6,0,0
21,589,5,0,0
22,617,5,0,0
23,646,5,0,0
24,674,6,0,0
25,701,6,0,0
26,728,7,0,0
27,754,7,0,0
28,781,6,0,0
29,812,4,0,0
30,838,6,0,0
31,863,7,0,0
32,893,7,0,0
33,924,5,0,0
34,946,10,0,0
35,975,8,0,0
36,1003,6,0,0
37,1032,4,0,0
38,1055,8,0,0
39,1085,6,0,0
40,1116,4,0,0
41,1144,5,0,0
42,1168,8,0,0
43,1198,7,0,0
44,1227,5,0,0
45,1255,5,0,0
46,1282,7,0,0
47,1313,5,0,0
48,1338,8,0,0
49,1362,12,0,0
50,1396,5,0,0
51,1422,6,0,0
52,1452,6,0,0
53,1478,7,0,0
54,1507,6,0,0
55,1534,7,0,0
56,1564,5,0,0
