Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,60000
1,0,7,42,60000
2,0,7,106,60000
3,0,8,170,60000
4,0,21,221,60000
5,0,6,300,60000
6,0,7,367,60000
7,0,5,434,60000
8,0,6,501,60000
9,0,6,567,60000
10,0,5,634,60000
11,0,14,677,60000
12,0,5,734,60000
13,0,7,791,60000
14,0,5,848,60000
15,0,5,913,60000
16,0,6,975,60000
17,0,11,1033,60000
18,0,5,1093,60000
19,0,6,1154,60000
20,40,5,1181,60000
21,105,4,1182,60000
22,170,6,1178,60000
23,219,5,1191,60000
24,299,5,1176,60000
25,366,5,1173,60000
26,433,6,1167,60000
27,501,10,1155,60000
28,567,6,1151,60000
29,630,10,1135,60000
30,675,13,1143,60000
31,733,15,1140,60000
32,787,14,1150,60000
33,845,6,1166,60000
34,912,23,1148,60000
35,974,13,1156,60000
36,1030,19,1156,60000
37,1093,38,1136,60000
38,1153,14,1147,60000
39,1219,6,1138,60000
40,1286,7,1129,60000
41,1344,20,1116,60000
42,1406,20,1113,60000
43,1474,20,1106,60000
44,1538,10,1109,60000
45,1600,13,1098,60000
46,1655,6,1106,60000
47,1715,9,1102,60000
48,1763,8,1114,60000
49,1811,6,1121,60000
50,1869,16,1109,60000
51,1923,7,1123,60000
52,2010,7,1094,60000
53,2055,22,1096,60000
54,2127,7,1090,60000
55,2175,8,1097,60000
56,2213,6,1120,60000
57,2299,7,1094,60000
58,2356,14,1090,60000
59,2410,18,1088,60000
60,2444,17,1115,60000
61,2511,16,1109,60000
62,2567,33,1096,60000
63,2644,10,1098,60000
64,2694,19,1086,60000
65,2761,7,1079,60000
66,2811,8,1080,60000
67,2871,12,1072,60000
68,2931,16,1066,60000
69,2973,8,1088,60000
70,3041,12,1073,60000
71,3103,7,1073,60000
72,3140,7,1092,60000
73,3217,12,1068,60000
74,3270,7,1077,60000
75,3332,12,1067,60000
76,3390,11,1069,60000
77,3443,31,1059,60000
78,3494,9,1092,60000
79,3553,6,1098,60000
80,3589,5,1123,60000
81,3651,4,1121,60000
82,3738,6,1092,60000
83,3776,6,1115,60000
84,3838,5,1116,60000
85,3887,5,1127,60000
86,3941,6,1132,60000
87,3997,6,1138,60000
88,4058,5,1138,60000
